DATA;PRESIDIO;TRIAGE_INGRESSO;ACCESSI
01/01/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;2
01/01/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;7
01/01/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;21
01/01/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;1
01/01/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;6
01/01/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;27
01/01/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;2
01/01/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;27
01/01/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;49
01/01/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;12
01/01/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;5
01/01/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;35
01/01/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;85
01/01/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;26
01/02/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;3
01/02/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;12
01/02/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;24
01/02/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;1
01/02/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;1 - ROSSO;2
01/02/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;9
01/02/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;27
01/02/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;8
01/02/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;1
01/02/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;41
01/02/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;64
01/02/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;12
01/02/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;6
01/02/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;42
01/02/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;132
01/02/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;44
01/03/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;3
01/03/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;18
01/03/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;34
01/03/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;1 - ROSSO;1
01/03/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;12
01/03/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;17
01/03/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;4
01/03/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;2
01/03/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;34
01/03/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;55
01/03/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;14
01/03/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;11
01/03/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;53
01/03/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;120
01/03/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;20
01/04/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;3
01/04/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;14
01/04/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;24
01/04/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;1 - ROSSO;3
01/04/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;6
01/04/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;35
01/04/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;4
01/04/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;1
01/04/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;20
01/04/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;59
01/04/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;13
01/04/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;5
01/04/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;62
01/04/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;119
01/04/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;24
01/05/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;19
01/05/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;25
01/05/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;1 - ROSSO;3
01/05/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;5
01/05/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;24
01/05/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;6
01/05/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;1
01/05/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;29
01/05/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;48
01/05/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;17
01/05/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;10
01/05/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;66
01/05/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;143
01/05/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;22
01/06/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;2
01/06/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;7
01/06/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;21
01/06/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;3
01/06/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;4
01/06/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;25
01/06/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;4
01/06/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;37
01/06/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;3 - VERDE;55
01/06/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;4 - BIANCO;9
01/06/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;1 - ROSSO;8
01/06/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;2 - GIALLO;74
01/06/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;3 - VERDE;130
01/06/2023;030906 - PRES.OSPEDAL.SPEDALI CIVILI BRESCIA;4 - BIANCO;26
01/07/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;1 - ROSSO;2
01/07/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;2 - GIALLO;21
01/07/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;3 - VERDE;30
01/07/2023;030159 - P.O. MONTICHIARI- A.O. SPEDALI CIVILI;4 - BIANCO;2
01/07/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;2 - GIALLO;8
01/07/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;3 - VERDE;33
01/07/2023;030162 - PRESIDIO OSPEDALIERO GARDONE V.T.;4 - BIANCO;4
01/07/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;1 - ROSSO;1
01/07/2023;030167 - OSPEDALE DEI BAMBINI UMBERTO I - BRESCIA;2 - GIALLO;24
