DATA;PRESIDIO;TIPO_RICOVERO;RICOVERI
01/01/2022;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;14
01/01/2022;01-030906 - Spedali Civili di Brescia;2 - URGENZA;27
01/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;4
01/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;9
01/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;1
01/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;2
01/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
01/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;2
02/01/2022;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;9
02/01/2022;01-030906 - Spedali Civili di Brescia;2 - URGENZA;28
02/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;3
02/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;1
02/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;2
02/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;1
03/01/2022;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;35
03/01/2022;01-030906 - Spedali Civili di Brescia;2 - URGENZA;68
03/01/2022;01-030906 - Spedali Civili di Brescia;3 - T.S.O.;1
03/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
03/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;7
03/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;8
03/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;3
03/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;7
04/01/2022;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;51
04/01/2022;01-030906 - Spedali Civili di Brescia;2 - URGENZA;70
04/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;3
04/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;16
04/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;2
04/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;17
04/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;3
04/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;11
04/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;4 - RIC.PROGRAMMATO CON PREOSPEDAL;1
05/01/2022;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;48
05/01/2022;01-030906 - Spedali Civili di Brescia;2 - URGENZA;93
05/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;4
05/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;11
05/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;2
05/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;17
05/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;4
05/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;11
06/01/2022;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;22
06/01/2022;01-030906 - Spedali Civili di Brescia;2 - URGENZA;35
06/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
06/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;6
06/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;1
06/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;4
07/01/2022;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;54
07/01/2022;01-030906 - Spedali Civili di Brescia;2 - URGENZA;83
07/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;3
07/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;13
07/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;6
07/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;16
07/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;2
07/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;9
08/01/2022;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;13
08/01/2022;01-030906 - Spedali Civili di Brescia;2 - URGENZA;37
08/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;4
08/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;4
08/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;1
08/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;6
08/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;2
09/01/2022;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;13
09/01/2022;01-030906 - Spedali Civili di Brescia;2 - URGENZA;16
09/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;3
09/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;3
10/01/2022;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;47
10/01/2022;01-030906 - Spedali Civili di Brescia;2 - URGENZA;73
10/01/2022;01-030906 - Spedali Civili di Brescia;3 - T.S.O.;1
10/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;4
10/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;16
10/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;1
10/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;13
10/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;3 - T.S.O.;1
10/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;2
10/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;9
11/01/2022;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;48
11/01/2022;01-030906 - Spedali Civili di Brescia;2 - URGENZA;71
11/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;7
11/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;8
11/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;2
11/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;14
11/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;5
11/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;6
12/01/2022;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;56
12/01/2022;01-030906 - Spedali Civili di Brescia;2 - URGENZA;73
12/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;2
12/01/2022;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;5
12/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;7
12/01/2022;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;11
12/01/2022;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;6
