DATA;PRESIDIO;TIPO_RICOVERO;RICOVERI
01/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;14
01/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;28
01/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
01/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;3
01/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;5
01/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
02/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;10
02/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;38
02/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
02/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;3
02/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;2
02/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;1
03/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;9
03/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;18
03/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;2
03/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;1
03/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;2
04/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;19
04/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;59
04/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;2
04/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;4
04/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;12
04/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;2
04/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;3
05/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;26
05/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;87
05/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;4
05/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;10
05/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;1
05/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;16
05/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;6
06/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;7
06/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;23
06/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;4
06/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;5
06/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;2
06/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;5
06/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;3
07/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;25
07/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;64
07/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;2
07/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;12
07/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;2
07/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;10
07/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;2
07/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;11
08/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;26
08/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;84
08/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
08/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;13
08/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;15
08/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
08/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;11
09/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;13
09/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;39
09/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;3
09/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;11
09/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;1 - ORDINARIO;1
09/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;8
09/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
09/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;2
10/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;4
10/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;10
10/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;1
10/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;4
10/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;3
11/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;25
11/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;69
11/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;6
11/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;13
11/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;1
11/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;2 - URGENZA;7
12/01/2021;01-030906 - Spedali Civili di Brescia;1 - ORDINARIO;26
12/01/2021;01-030906 - Spedali Civili di Brescia;2 - URGENZA;75
12/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;1 - ORDINARIO;3
12/01/2021;02-030167 - Presidio Ospedaliero Umberto I°;2 - URGENZA;7
12/01/2021;05-030159 - Presidio Ospedaliero di Montichiari;2 - URGENZA;9
12/01/2021;06-030162 - Presidio Ospedaliero di Gardone V.T.;1 - ORDINARIO;3
